no target_name difficulty F1 Round
1 T1110o easy 95.100 casp15
2 T1161o easy 92.000 casp15
3 T1127o easy 90.800 casp15
4 T1124o easy 88.900 casp15
5 T1109o easy 85.200 casp15
6 H1151 easy 84.100 casp15
7 H1106 easy 83.600 casp15
8 T1179o easy 80.700 casp15
9 T1192o easy 74.999 casp15
10 T1178o easy 72.300 casp15
11 H1185 easy 72.287 casp15
12 T1170o easy 65.025 casp15
13 T1181o easy 62.670 casp15
14 H1172 easy 62.634 casp15
15 H1171 easy 61.897 casp15
16 T1160o easy 56.500 casp15
17 H1143 medium 91.600 casp15
18 T1132o medium 89.818 casp15
19 T1153o medium 85.700 casp15
20 H1114 medium 84.135 casp15
21 H1168v1 medium 83.500 casp15
22 H1137 medium 82.644 casp15
23 H1134 medium 81.100 casp15
24 H1140 medium 80.700 casp15
25 H1141 medium 80.300 casp15
26 H1157 medium 78.700 casp15
27 H1129 medium 75.800 casp15
28 H1144 medium 74.100 casp15
29 H1135 medium 68.421 casp15
30 T1115o medium 67.677 casp15
31 T1121o medium 67.600 casp15
32 H1114v2 medium 62.212 casp15
33 H1111 medium 60.911 casp15
33 T1123o medium 46.200 casp15
34 H1142 medium 44.700 casp15
35 H1166v1 medium 29.500 casp15
36 H1167v1 medium 12.000 casp15
38 T1187o hard 95.100 casp15
39 T1113o hard 93.100 casp15
40 T1174o hard 89.767 casp15
41 T1173o hard 69.167 casp15
