no target_name difficulty F1 Round
1 T1006o easy 92.1 casp13
2 T1016o easy 87.3 casp13
3 T0983o easy 86.1 casp13
4 T0961o easy 83.80654206 casp13
5 T0973o easy 82.5 casp13
6 T1003o easy 81.7 casp13
7 T1020o easy 60.73266332 casp13
8 H0974 easy 55.2 casp13
9 T0979o easy 54.85961538 casp13
10 T0984o easy 53 casp13
11 T0995o easy 51.25257453 casp13
12 T0977o easy 37.61971545 casp13
13 T0985o easy 22.5 casp13
17 T0999o medium 70.7 casp13
18 T1004o medium 63.74754316 casp13
19 T0970o medium 59 casp13
20 T0976o medium 39.8 casp13
21 T0996o medium 38.91633403 casp13
22 H0993 medium 29.59482072 casp13
23 T0981o medium 29.2296334 casp13
24 T0997o medium 26.3 casp13
25 T0991o medium 26.1 casp13
26 T0960o medium 25.21015953 casp13
27 H1017 medium 24.6 casp13
28 T0963o medium 21.52485056 casp13
29 T0998o medium 21.5 casp13
30 T0966o medium 15.5 casp13
31 T0965o medium 10.5 casp13
32 T1009o medium 9.3 casp13
33 T1018o medium 4 casp13
38 T1001o hard 51.9 casp13
39 H1022 hard 40.24476886 casp13
40 H1019 hard 35.6 casp13
41 H0953 hard 29.13022222 casp13
42 H1021 hard 25.3156901 casp13
43 T0989o hard 21.26972909 casp13
44 T1006o_ASU hard 13.8 casp13
45 T1000o hard 13 casp13
46 H1015 hard 12.4 casp13
47 T1010o hard 9.4 casp13
48 H0986 hard 6 casp13
49 H0957 hard 5.4 casp13
50 H0968 hard 5.317889908 casp13
51 H0980 hard 4.538495575 casp13
