no target_name difficulty F1 Round
1 T0867o easy 91.87484277 casp12
2 T0889o easy 75.1775 casp12
3 T0860o easy 68.03333333 casp12
4 T0906o easy 65.44359563 casp12
5 T0917o easy 64.7 casp12
6 T0881o easy 63.47894737 casp12
7 T0893o easy 58 casp12
8 T0921-T0922 easy 43.2 casp12
9 T0909o easy 37.49796438 casp12
17 T0931o medium 51.9 casp12
18 T0873o medium 50.34401544 casp12
19 T0861o-T0862o-T0870o medium 34.75206612 casp12
20 T0903o-T0904o medium 31.53399602 casp12
21 T0888o medium 28.45363128 casp12
22 T0880o medium 24.98181818 casp12
38 T0884-T0885 hard 14.9 casp12
39 T0894-T0895 hard 13.6 casp12
40 T0875o hard 12.6 casp12
41 T0929o hard 9.4 casp12
42 T0868-T0869 hard 8.1 casp12
43 T0945o hard 5.5 casp12
44 T0897-T0898 hard 5.2 casp12
45 T0914-T0915 hard 4.6 casp12
46 T0912o hard 2.9 casp12
47 T0934o hard 2.4 casp12
48 T0933o hard 2.133333333 casp12
49 T0932o hard 1.6 casp12
50 T0913o hard 1.490196078 casp12
51 T0866o hard 1.3 casp12
52 T0930o hard 0.5 casp12
